Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension & Traction (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
29,96,Northeastern Univ,Skunkworks,630.63,164.01,241.62,88.12,110,43.5,52.58,48.91,45.93,16.6,225,0,TRUE,TRUE,TRUE,
30,103,Virginia Tech,VT Baja,625.84,171.05,146.45,68.95,50,27.5,52.26,46.37,55.88,16.55,308.33,0,TRUE,TRUE,TRUE,
31,107,Univ of Central Florida,Knights Racing,621.15,205.15,141,14,80,47,58.73,48.54,51.63,46.25,275,0,TRUE,TRUE,TRUE,
32,4,Universidade Federal de Pernambuco,Mangue Baja UFPE,620.89,235.88,285.01,95.01,140,50,51.97,73.96,41.65,68.3,100,0,TRUE,TRUE,TRUE,
33,15,Central Michigan Univ,Chippewa Performance,615.56,180.22,202.01,61.34,100,40.67,55.21,65.3,32.61,27.12,233.33,0,TRUE,TRUE,TRUE,
34,49,Univ of Notre Dame,Irish Racing,611.39,180.87,163.85,45.52,80,38.33,44.11,48.09,31.19,57.49,266.67,0,TRUE,TRUE,TRUE,
35,92,Univ of Wisconsin - Madison,Professional Badger Racing,608.69,178.67,221.69,82.69,100,39,66.01,70.48,32.25,9.93,208.33,0,TRUE,TRUE,TRUE,
36,20,Memorial Univ of Newfoundland,MUN Baja,607.54,163.83,235.38,69.88,130,35.5,36.37,41.82,28.71,56.94,208.33,0,TRUE,TRUE,TRUE,
37,38,Clemson Univ,CUBaja Racing,596.64,197.11,182.86,73.86,80,29,51.22,40.02,48.97,56.9,216.67,0,TRUE,TRUE,TRUE,
38,89,Universidad La Salle,Aguilas La Salle,580.66,170.99,193,94,70,29,52.87,70.74,30.83,16.55,216.67,0,TRUE,TRUE,TRUE,
39,64,McMaster Univ,McMaster Baja Racing,569.94,227.21,201.07,64.07,100,37,63.9,59.97,51.63,51.7,141.67,0,TRUE,TRUE,TRUE,
40,40,West Virginia Univ Inst of Tech,Golden Bear Racing,566.99,162.67,137.66,51.66,40,46,53.39,53.66,28.35,27.26,266.67,0,TRUE,TRUE,TRUE,
41,41,Univ of Iowa,Hawkeye Motorsports,560.14,95.66,139.48,72.48,40,27,38.27,0,30.12,27.26,325,0,TRUE,TRUE,TRUE,
42,9,Johns Hopkins Univ,Hopkins Baja,552.12,223.39,237.06,96.06,100,41,54.97,64.47,40.93,63.01,91.67,0,TRUE,TRUE,TRUE,
43,24,Univ of Rochester,Yellow Jacket Racing,551.38,72.78,203.6,90.1,80,33.5,0,0,26.58,46.2,275,0,TRUE,TRUE,TRUE,
