Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
19,99,McGill Univ,McGill Baja Racing,619.65,178.31,241.34,69.01,140,32.33,53.45,62.47,0.2,62.18,200,0,TRUE,TRUE,TRUE,
20,71,Bradley Univ,Bradley Motorsports,619.31,139.41,152.63,55.3,60,37.33,24.13,51.43,0.36,63.5,327.27,0,TRUE,TRUE,TRUE,
21,27,Virginia Tech,VT Baja,618.88,112.41,233.75,83.42,110,40.33,33.55,42.97,0,35.89,272.73,0,TRUE,TRUE,TRUE,
22,66,Queen's Univ,Queen's Baja,602.8,110.89,219.18,72.51,110,36.67,45.75,42.26,0,22.88,272.73,0,TRUE,TRUE,TRUE,
23,8,Case Western Reserve Univ,CWRU Motorsports,600.42,163.92,254.69,74.77,146,33.92,55.75,54.72,25.36,28.08,181.82,0,TRUE,TRUE,TRUE,
24,14,Pennsylvania College of Technology,PCTBaja,591.98,202.49,153.13,69.8,50,33.33,63.78,64.77,0.51,73.44,236.36,0,TRUE,TRUE,TRUE,
25,110,Universite de Sherbrooke,Sherbrooke Racing Team,582.82,145.25,183.03,78.69,80,24.33,34.2,48.7,2.03,60.32,254.55,0,TRUE,TRUE,TRUE,
26,5,Lehigh Univ,Lehigh Engineers,579.3,178.43,164.51,53.51,80,31,35.96,30.41,55.92,56.13,236.36,0,TRUE,TRUE,TRUE,
27,45,Ohio Northern Univ,Polar Bear Racing,578.14,151.53,208.43,67.76,100,40.67,30.56,59.28,0,61.69,218.18,0,TRUE,TRUE,TRUE,
28,57,Arizona State Univ Polytechnic,Sun Devil Racing,573.99,173.97,236.38,83.05,120,33.33,51.86,66.29,1.22,54.6,163.64,0,TRUE,TRUE,TRUE,
29,90,Polytechnique Montr�al,Poly Mud Bees,571.94,126.87,245.06,73.73,140,31.33,54.52,0,0.81,71.54,200,0,TRUE,TRUE,TRUE,
30,7,Northeastern Univ,Skunkworks,566.14,158.48,244.01,76.68,130,37.33,54.19,47.83,1.01,55.45,163.64,0,TRUE,TRUE,TRUE,
31,101,Universit� Laval,Al�rion,564.28,131.77,232.52,94.52,110,28,25.4,55,0,51.37,200,0,TRUE,TRUE,TRUE,
32,50,Univ of Illinois - Urbana Champaign,Off-Road Illini,558.17,73.3,193.97,63.3,90,40.67,50.42,0,0,22.88,290.91,0,TRUE,TRUE,TRUE,
33,29,Texas A&M Univ,12th Man Racing,555.96,137.19,182.41,52.07,100,30.33,49.36,64.95,0,22.88,236.36,0,TRUE,TRUE,TRUE,
34,65,Univ of Illinois - Chicago,UIC Motorsports,539.83,172.64,130.82,57.82,40,33,55.54,50.13,30.13,36.84,236.36,0,TRUE,TRUE,TRUE,
35,68,Kansas State Univ - Salina,Baja SAE Salina,535.4,111.69,114.61,58.61,40,16,5.78,39.68,27.19,39.05,309.09,0,TRUE,TRUE,TRUE,
36,89,Clemson Univ,CUBaja Racing,534.86,109,171.32,67.32,80,24,34,0,15.62,59.38,254.55,0,TRUE,TRUE,TRUE,
37,95,Youngstown State Univ,Penguin Powersports,531.74,149.73,236.56,79.56,120,37,44.32,51.34,0.2,53.86,145.45,0,TRUE,TRUE,TRUE,
38,64,Michigan State Univ,MSU Baja,531.06,127.07,240.35,77.35,120,43,41.08,52.73,0.2,33.05,163.64,0,TRUE,TRUE,TRUE,
